variable;unit;min;max;definition
Emissions|Sulfur|Land Use;Mt SO2/yr;NA;1000;total sulfur emissions from land sources
Emissions|BC|Energy Supply|Electricity;Mt BC/yr;NA;1000;total black carbon emissions from electricity generation
Emissions|BC|Energy Supply and Demand;Mt BC/yr;NA;1000;total black carbon emissions from energy use on supply and demand side
Emissions|BC|Land Use;Mt BC/yr;NA;1000;total black carbon emissions from land sources
Emissions|OC|Energy Supply|Electricity;Mt OC/yr;NA;1000;total organic carbon emissions from electricity generation
Emissions|OC|Energy Supply and Demand;Mt OC/yr;NA;1000;total organic carbon emissions from energy use on supply and demand side
Emissions|OC|Land Use;Mt OC/yr;NA;1000;total organic carbon emissions from land sources
Emissions|NOx|Energy Supply|Electricity;Mt NO2/yr;NA;1000;total nitrogen oxide emissions from electricity generation
Emissions|NOx|Energy Supply and Demand;Mt NO2/yr;NA;1000;total nitrogen oxide emissions from energy use on supply and demand side
Emissions|NOx|Land Use;Mt NO2/yr;NA;1000;total nitrogen oxide emissions from land sources
Emissions|CO|Energy Supply|Electricity;Mt CO/yr;NA;1000;total carbon monoxide emissions from electricity generation
Emissions|CO|Energy Supply and Demand;Mt CO/yr;NA;1000;total carbon monoxide emissions from energy use on supply and demand side
Emissions|CO|Land Use;Mt CO/yr;NA;1000;total carbon monoxide emissions from land sources
Forcing|Montreal Gases;W/m2;NA;1000;total radiative forcing from Montreal gases
Forcing|CO2;W/m2;NA;1000;total radiative forcing from CO2
Forcing|CH4;W/m2;NA;1000;total radiative forcing from CH4
Forcing|N2O;W/m2;NA;1000;total radiative forcing from N2O
Forcing|F-Gases;W/m2;NA;1000;total radiative forcing from F-gases
Forcing|Aerosol;W/m2;NA;1000;total radiative forcing from all aerosols
Forcing|Aerosol|Sulfate Direct;W/m2;NA;1000;total radiative forcing from direct sufate effects
Forcing|Aerosol|Cloud Indirect;W/m2;NA;1000;total radiative forcing from indirect effects of aerosols on clouds
Forcing|Aerosol|BC and OC;W/m2;NA;1000;total radiative forcing from black and organic carbon
Forcing|Aerosol|Other;W/m2;NA;1000;total radiative forcing from aerosols not covered in the other categories (including aerosols from biomass burning)
Forcing|Tropospheric Ozone;W/m2;NA;1000;total radiative forcing from tropospheric ozone
Forcing|Other;W/m2;NA;1000;total radiative forcing from factors not covered in other categories (including stratospheric ozone and startospheric water vapor)
Forcing|Albedo Change and Mineral Dust;W/m2;NA;1000;total radiative forcing from albedo change and mineral dust
Forcing|Aerosol|Nitrate Direct;W/m2;NA;1000;total radiative forcing from direct nitrate aerosols
Temperature|Global Mean; °C;NA;1000;change in global mean temperature relative to pre-industrial
LCOE|Liquids|Oil;US$2005/MWh;NA;1000;average levelized cost of liquids produced from conventional or unconventional oil (weighted by the share of producton from the various plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Liquids|Biomass|w/ CCS;US$2005/MWh;NA;1000;average levelized cost of liquids produced from biomass sources and using CCS (weighted by the share of producton from the various plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
